_id,GRUPOSERVICO_CODIGO,GRUPOSERVICO_DESCRICAO,SERVICO_CODIGO,SERVICO_DESCRICAO,LOGRADOURO,NUMERO,BAIRRO,RPA,DATA_DEMANDA,SITUACAO,DATA_ULT_SITUACAO
115,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA FREI CASSIMIRO,905,SANTO AMARO,1,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
116,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA PADRE HENRIQUE,105,BARRO,5,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
117,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA PRINCIPE BEIRA,267,JIQUIA,5,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
118,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA PRINCIPE BEIRA,845,JIQUIA,5,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
119,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA SANTA ROSA,88,SAN MARTIN,5,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
120,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA SOLDADO VIRGILIO LUCIO,122,COHAB,6,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
121,17,ILUMINAÇÃO PÚBLICA,25,MANUTENÇÃO EM LÂMPADA APAGADA,RUA VISCONDE BARBACENA,SN,VARZEA,4,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
122,17,ILUMINAÇÃO PÚBLICA,434,IMPLANTAR LUMINÁRIA LED,AV  RUI BARBOSA,00,JAQUEIRA,3,2021-04-09T00:00:00,ATENDIDA,2021-04-09T00:00:00
123,17,ILUMINAÇÃO PÚBLICA,434,IMPLANTAR LUMINÁRIA LED,EST  BELEM,S/N,CAMPO GRANDE,2,2021-04-09T00:00:00,ATENDIDA,2021-04-09T00:00:00
124,17,ILUMINAÇÃO PÚBLICA,434,IMPLANTAR LUMINÁRIA LED,PRC  ALEIXO DE OLIVEIRA,S/N,IPSEP,6,2021-04-09T00:00:00,ATENDIDA,2021-04-09T00:00:00
125,17,ILUMINAÇÃO PÚBLICA,434,IMPLANTAR LUMINÁRIA LED,PRC  GREGORIO BEZERRA,00,TORRE,4,2021-04-09T00:00:00,ATENDIDA,2021-04-09T00:00:00
126,17,ILUMINAÇÃO PÚBLICA,434,IMPLANTAR LUMINÁRIA LED,RUA  DAVID NASSER,260,IPUTINGA,4,2021-04-09T00:00:00,ATENDIDA,2021-04-09T00:00:00
127,17,ILUMINAÇÃO PÚBLICA,434,IMPLANTAR LUMINÁRIA LED,RUA  HISTORIADOR LUIZ DO NASCIMENTO,S/N,VARZEA,4,2021-04-09T00:00:00,ATENDIDA,2021-04-09T00:00:00
128,17,ILUMINAÇÃO PÚBLICA,434,IMPLANTAR LUMINÁRIA LED,RUA  PROJETADA,S/N,CURADO,5,2021-04-09T00:00:00,ATENDIDA,2021-04-09T00:00:00
129,17,ILUMINAÇÃO PÚBLICA,434,IMPLANTAR LUMINÁRIA LED,RUA  RIO NILO,00,PASSARINHO,3,2021-04-09T00:00:00,ATENDIDA,2021-04-09T00:00:00
130,20,LIMPEZA URBANA,3,REMOÇÃO DE ENTULHOS,AV  TANCREDO NEVES,460,BREJO DE BEBERIBE,3,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
131,20,LIMPEZA URBANA,3,REMOÇÃO DE ENTULHOS,RUA  CORREGO DO EUCLIDES,686,ALTO JOSE BONIFACIO,3,2021-04-09T00:00:00,PREPARAÇÃO,2021-04-09T00:00:00
132,20,LIMPEZA URBANA,3,REMOÇÃO DE ENTULHOS,RUA  CORREGO DO EUCLIDES,700,ALTO JOSE BONIFACIO,3,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
133,20,LIMPEZA URBANA,3,REMOÇÃO DE ENTULHOS,RUA  CORREGO MANOEL DAS MENINAS,4838,BREJO DA GUABIRABA,3,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
134,20,LIMPEZA URBANA,3,REMOÇÃO DE ENTULHOS,RUA  DOURADINHA,S/N,VASCO DA GAMA,3,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
135,20,LIMPEZA URBANA,3,REMOÇÃO DE ENTULHOS,RUA  FERNAO LOPES,S/N,VARZEA,4,2021-04-09T00:00:00,PREPARAÇÃO,2021-04-09T00:00:00
136,20,LIMPEZA URBANA,3,REMOÇÃO DE ENTULHOS,RUA  JURUMIRIM,132,AGUA FRIA,2,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
137,20,LIMPEZA URBANA,3,REMOÇÃO DE ENTULHOS,RUA  MARUIM,837,SAO JOSE,1,2021-04-09T00:00:00,ATENDIDA,2021-04-09T00:00:00
138,20,LIMPEZA URBANA,3,REMOÇÃO DE ENTULHOS,RUA  RIO,497,MANGABEIRA,3,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
139,20,LIMPEZA URBANA,3,REMOÇÃO DE ENTULHOS,RUA COMANDANTE ARNALDO DA COSTA VARELA,146,CABANGA,1,2021-04-09T00:00:00,PREPARAÇÃO,2021-04-09T00:00:00
140,20,LIMPEZA URBANA,3,REMOÇÃO DE ENTULHOS,RUA DR CARLOS ALBERTO DE MENEZES,143,AFOGADOS,5,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
